Epoch,Loss,Value
54,kl_loss_5,2.7781
54,kl_loss_6,2.0368
54,kl_loss_7,2.0771
54,kl_loss_8,2.146
54,kl_loss_9,3.4134
54,loss,4735.8165
55,recon_loss,4620.8567
55,kl_loss,24.9122
55,kl_loss_0,2.6034
55,kl_loss_1,1.8907
55,kl_loss_2,2.5524
55,kl_loss_3,2.7972
55,kl_loss_4,2.6745
55,kl_loss_5,2.7775
55,kl_loss_6,1.9855
55,kl_loss_7,2.0852
55,kl_loss_8,2.1821
55,kl_loss_9,3.3637
55,loss,4720.5057
56,recon_loss,4636.5672
56,kl_loss,25.0846
56,kl_loss_0,2.6637
56,kl_loss_1,1.9054
56,kl_loss_2,2.5199
56,kl_loss_3,2.8318
56,kl_loss_4,2.6898
56,kl_loss_5,2.8162
56,kl_loss_6,2.1172
56,kl_loss_7,2.0593
56,kl_loss_8,2.0774
56,kl_loss_9,3.4039
56,loss,4736.9057
57,recon_loss,4623.6424
57,kl_loss,25.1291
57,kl_loss_0,2.6293
57,kl_loss_1,1.9863
57,kl_loss_2,2.5127
57,kl_loss_3,2.8528
57,kl_loss_4,2.6935
57,kl_loss_5,2.7198
57,kl_loss_6,2.0772
57,kl_loss_7,2.1071
57,kl_loss_8,2.1787
57,kl_loss_9,3.3717
57,loss,4724.159
58,recon_loss,4642.4936
58,kl_loss,25.3088
58,kl_loss_0,2.6601
58,kl_loss_1,2.0011
58,kl_loss_2,2.4804
58,kl_loss_3,2.8447
58,kl_loss_4,2.7354
58,kl_loss_5,2.8102
58,kl_loss_6,2.1131
58,kl_loss_7,2.049
58,kl_loss_8,2.1845
58,kl_loss_9,3.4304
58,loss,4743.7287
59,recon_loss,4678.4454
59,kl_loss,25.1131
59,kl_loss_0,2.603
59,kl_loss_1,1.9387
59,kl_loss_2,2.509
59,kl_loss_3,2.8387
59,kl_loss_4,2.7227
59,kl_loss_5,2.737
59,kl_loss_6,2.0904
59,kl_loss_7,2.099
59,kl_loss_8,2.162
59,kl_loss_9,3.4126
59,loss,4778.8979
60,recon_loss,4588.1063
60,kl_loss,25.2084
60,kl_loss_0,2.6513
60,kl_loss_1,1.9733
60,kl_loss_2,2.4737
60,kl_loss_3,2.8457
60,kl_loss_4,2.6942
60,kl_loss_5,2.7994
60,kl_loss_6,2.1123
60,kl_loss_7,2.0479
60,kl_loss_8,2.1886
60,kl_loss_9,3.422
60,loss,4688.9398
61,recon_loss,4619.4728
61,kl_loss,25.2025
61,kl_loss_0,2.6882
61,kl_loss_1,2.01
61,kl_loss_2,2.5384
61,kl_loss_3,2.8126
61,kl_loss_4,2.7154
61,kl_loss_5,2.7551
61,kl_loss_6,2.0807
61,kl_loss_7,2.083
61,kl_loss_8,2.1006
61,kl_loss_9,3.4186
61,loss,4720.2827
62,recon_loss,4589.3112
62,kl_loss,25.4104
62,kl_loss_0,2.657
62,kl_loss_1,1.9816
62,kl_loss_2,2.531
62,kl_loss_3,2.8797
62,kl_loss_4,2.7287
62,kl_loss_5,2.8171
62,kl_loss_6,2.125
62,kl_loss_7,2.105
62,kl_loss_8,2.1712
62,kl_loss_9,3.414
62,loss,4690.9529
63,recon_loss,4615.2943
63,kl_loss,25.1203
63,kl_loss_0,2.6544
63,kl_loss_1,1.9569
63,kl_loss_2,2.556
63,kl_loss_3,2.8088
